# $1=time_ms	$2=step	$3=step_phase	$4=inhibit_i	$5=pitch	$6=roll	$7=tilt	$8=error	$9=ctrl	$10=ctrl_i_accu
81439	0.766316	3	1	-0.7947449	0.2674901	-43.03478	-71.23177	-0.3954009	-0.3954009
81459	0.6769568	3	1	-0.2214804	0.9586042	-47.81045	-62.22963	-0.3954009	-0.3954009
81479	0.5852735	3	1	-2.096488	2.575929	-189.2804	-166.7751	-0.3954009	-0.3954009
81500	0.4904728	3	1	-2.698817	2.695926	-218.5237	-160.4863	-0.3954009	-0.3954009
81520	0.3914036	3	1	-3.317605	2.513784	-236.1799	-145.8507	-0.3954009	-0.3954009
81546	0.2966253	3	1	-3.913578	3.173499	-287.0043	-161.024	-0.3954009	-0.3954009
81566	0.2138694	3	1	-4.21168	3.207479	-300.4286	-142.8262	-0.3954009	-0.3954009
81599	0.138127	3	1	-3.145348	4.108195	-293.8065	-111.5145	-0.3954009	-0.3954009
81620	0.03944525	3	1	-1.775728	4.004771	-234.1699	-42.47402	-0.3954009	-0.3954009
81645	0.01092574	3	1	0.03446557	2.652001	-106.0273	70.13954	-0.3954009	-0.3954009
81660	2.279878e-05	3	1	0.6911166	1.901836	0.0	0.0	-0.3954009	-0.3954009
81679	0	0	1	1.157136	0.1141964	0.0	0.0	-0.3954009	-0.3954009
81705	0	0	1	1.782667	-2.177382	0.0	0.0	-0.3954009	-0.3954009
81720	0	0	1	1.946577	-2.78115	0.0	0.0	-0.3954009	-0.3954009
81738	0	0	1	1.888078	-4.249624	0.0	0.0	-0.3954009	-0.3954009
81757	0	0	1	1.684575	-5.475076	0.0	0.0	-0.3954009	-0.3954009
81775	0	0	1	1.710489	-4.461991	0.0	0.0	-0.3954009	-0.3954009
81790	0	0	1	1.355712	-3.905831	0.0	0.0	-0.3954009	-0.3954009
81808	0	0	1	0.7464022	-2.88367	0.0	0.0	-0.3954009	-0.3954009
81827	0	0	1	0.1066027	-1.690017	0.0	0.0	-0.3954009	-0.3954009
81845	0	0	1	-0.1190496	-0.9913385	0.0	0.0	-0.3954009	-0.3954009
81876	0	0	1	0.6024241	1.601731	0.0	0.0	-0.3954009	-0.3954009
81890	0	0	1	1.211555	1.441818	0.0	0.0	-0.3954009	-0.3954009
81908	0	0	1	1.873014	2.184268	0.0	0.0	-0.3954009	-0.3954009
81935	0	0	1	1.534809	0.2064603	0.0	0.0	-0.3954009	-0.3954009
81949	0	0	1	1.145041	-0.4253026	0.0	0.0	-0.3954009	-0.3954009
81968	0	0	1	0.6666373	-1.765895	0.0	0.0	-0.3954009	-0.3954009
81986	0	0	1	0.07483549	-2.985461	0.0	0.0	-0.3954009	-0.3954009
82005	0.0005657077	1	0	-0.5016113	-1.931138	0.0	0.0	-0.3954009	-0.3954009
82076	0.1040496	1	0	0.4859211	-0.9138645	56.7109	190.6641	0.2701426	0.2701426
82096	0.1689761	1	0	-0.1909044	-0.4920103	12.19861	119.659	0.6878314	0.6878314
82117	0.2500025	1	0	-0.4929872	1.393695	-76.43648	25.40024	0.7764949	0.7764949
82137	0.3591434	1	0	0.3949725	0.8399823	-18.02733	68.61733	1.016015	1.016015
82170	0.5095185	1	0	-0.04608378	2.910872	-119.7746	-27.12453	0.9213322	0.9213322
82195	0.6086235	1	0	1.184342	2.383474	-48.53871	36.11536	1.047398	1.047398
82215	0.7033667	1	0	1.673172	1.458884	8.7033	76.43456	1.314205	1.314205
82235	0.7822091	1	0	2.122159	1.072608	42.53558	90.27884	1.629338	1.629338
82255	0.8585677	1	0	1.61304	0.2499151	55.22377	84.30229	1.923609	1.923609
82276	0.9180269	1	0	0.3564302	-0.1772606	21.62186	41.50996	2.068506	2.068506
82296	0.9623965	1	0	-0.9853612	-0.7087022	-11.212	7.103386	2.093301	2.093301
82316	0.9900394	1	0	-1.259071	-1.446967	7.596045	21.21449	2.167354	2.167354
82336	0.9999775	1	0	-1.406873	-2.533104	45.57102	48.46024	2.336512	2.336512
82360	0.9823393	3	1	-0.3333929	-1.230404	36.33748	32.1161	2.336512	2.336512
82385	0.9487027	3	1	0.146179	0.1849888	-1.572364	-4.743515	2.336512	2.336512
82413	0.8959452	3	1	-0.09472806	1.001359	-44.40694	-38.95365	2.336512	2.336512
82439	0.766316	3	1	-2.544034	4.222724	-274.1115	-219.9588	2.336512	2.336512
82459	0.6769568	3	1	-3.43713	4.611199	-325.9865	-222.5586	2.336512	2.336512
82480	0.5852735	3	1	-4.462399	5.382224	-398.6631	-241.7182	2.336512	2.336512
82505	0.4857168	3	1	-4.949871	5.953184	-441.4776	-232.9557	2.336512	2.336512
82526	0.3867648	3	1	-4.76383	6.591289	-459.8144	-205.7409	2.336512	2.336512
82546	0.2966253	3	1	-4.185466	6.855838	-447.1599	-158.0857	2.336512	2.336512
82567	0.209981	3	1	-2.101795	6.627071	-353.5288	-52.77102	2.336512	2.336512
82587	0.1221281	3	1	-1.00445	4.983072	-242.513	47.68679	2.336512	2.336512
82607	0.06697932	3	1	0.9736762	3.072618	-84.97105	168.0271	2.336512	2.336512
82629	0.02596503	3	1	1.927519	1.695799	9.421508	214.8511	2.336512	2.336512
82647	0.004431963	3	1	1.98229	0.2007291	0.0	0.0	2.336512	2.336512
82670	0	0	1	2.170319	-1.68804	0.0	0.0	2.336512	2.336512
82705	0	0	1	2.637965	-3.709276	0.0	0.0	2.336512	2.336512
82720	0	0	1	2.312791	-4.37966	0.0	0.0	2.336512	2.336512
82738	0	0	1	1.256531	-5.017488	0.0	0.0	2.336512	2.336512
82756	0	0	1	0.2804027	-4.071881	0.0	0.0	2.336512	2.336512
82775	0	0	1	-0.3874892	-3.015449	0.0	0.0	2.336512	2.336512
82789	0	0	1	-0.768958	-2.43878	0.0	0.0	2.336512	2.336512
82808	0	0	1	-0.6540117	-0.9973584	0.0	0.0	2.336512	2.336512
82826	0	0	1	-0.3930149	0.335682	0.0	0.0	2.336512	2.336512
82845	0	0	1	0.6678028	1.255109	0.0	0.0	2.336512	2.336512
82859	0	0	1	1.078139	1.836113	0.0	0.0	2.336512	2.336512
82878	0	0	1	2.212413	1.740824	0.0	0.0	2.336512	2.336512
82896	0	0	1	1.858726	0.8849792	0.0	0.0	2.336512	2.336512
82915	0	0	1	0.9716356	0.01742695	0.0	0.0	2.336512	2.336512
82929	0	0	1	0.2494333	0.09313215	0.0	0.0	2.336512	2.336512
82960	0	0	1	-0.6988447	-0.9123878	0.0	0.0	2.336512	2.336512
82979	0	0	1	0.5686584	-1.389374	0.0	0.0	2.336512	2.336512
83006	0.0005657077	1	0	0.5486776	-1.630527	0.0	0.0	2.336512	2.336512
83026	0.009032637	1	0	0.1541086	-0.3245826	19.3938	184.0698	2.979037	2.979037
83047	0.03581765	1	0	0.1037432	-0.3286868	17.51938	149.169	3.499735	3.499735
83068	0.09271878	1	0	-0.5899265	-0.5315879	-2.364885	105.8494	3.869219	3.869219
83089	0.1584159	1	0	0.6220826	-0.8624981	60.14632	137.842	4.350378	4.350378
83109	0.2337074	1	0	1.441362	-1.877879	134.4706	173.707	4.95673	4.95673
83129	0.323035	1	0	1.530849	-0.531652	83.55386	100.5322	5.307653	5.307653
83150	0.4147538	1	0	1.287039	-0.4757102	71.41252	72.36832	5.560266	5.560266
83170	0.5095185	1	0	2.27384	0.007663503	91.80036	75.94233	5.825355	5.825355
83190	0.6086235	1	0	2.425997	1.357265	43.32504	22.48808	5.903853	5.903853
83227	0.7703143	1	0	2.193631	-0.3098659	101.412	65.96928	6.13413	6.13413
83248	0.8484763	1	0	1.24305	-1.203173	99.10309	52.12069	6.316065	6.316065
83268	0.9100273	1	0	0.5279996	-1.832393	95.62701	39.82684	6.455087	6.455087
83289	0.9567787	1	0	-0.740375	-2.288157	62.6795	5.63231	6.474747	6.474747
83367	0.9725038	3	1	-2.350113	3.494825	-236.7748	-240.5611	6.474747	6.474747
83388	0.9306093	3	1	-3.244699	4.619107	-318.5233	-263.8848	6.474747	6.474747
83409	0.8747462	3	1	-3.993217	6.109325	-409.1556	-290.2541	6.474747	6.474747
83429	0.8015333	3	1	-5.029777	7.351953	-501.3612	-313.1315	6.474747	6.474747
83450	0.7206166	3	1	-5.295223	8.696465	-566.5157	-309.7144	6.474747	6.474747
83475	0.6270986	3	1	-5.593337	9.84986	-625.2291	-301.6432	6.474747	6.474747
83504	0.5285521	3	1	-5.813241	10.59799	-664.3704	-279.0107	6.474747	6.474747
83529	0.3500236	3	1	-4.786023	9.679832	-585.7269	-164.0467	6.474747	6.474747
83550	0.2624794	3	1	-3.748458	8.206043	-484.1282	-51.12814	6.474747	6.474747
83570	0.1798204	3	1	-3.59678	6.495899	-408.7762	19.83279	6.474747	6.474747
83596	0.109943	3	1	-4.016252	5.582228	-388.7381	32.64355	6.474747	6.474747
83616	0.05778104	3	1	-2.632334	2.936922	-225.5965	160.2954	6.474747	6.474747
83637	0.02025721	3	1	-1.647406	1.557538	-129.837	209.6399	6.474747	6.474747
83660	2.279878e-05	3	1	-1.780797	-0.1907342	0.0	0.0	6.474747	6.474747
83679	0	0	1	-0.8879393	-0.9645809	0.0	0.0	6.474747	6.474747
83698	0	0	1	-0.01373416	-2.350982	0.0	0.0	6.474747	6.474747
83716	0	0	1	0.5329795	-4.044333	0.0	0.0	6.474747	6.474747
83735	0	0	1	0.1187727	-4.155482	0.0	0.0	6.474747	6.474747
83749	0	0	1	0.1131847	-3.546587	0.0	0.0	6.474747	6.474747
83780	0	0	1	-1.565827	-2.378889	0.0	0.0	6.474747	6.474747
83799	0	0	1	-2.052993	-1.35002	0.0	0.0	6.474747	6.474747
83817	0	0	1	-3.062845	-0.6362796	0.0	0.0	6.474747	6.474747
83836	0	0	1	-2.801618	0.8747293	0.0	0.0	6.474747	6.474747
83849	0	0	1	-2.183489	1.28112	0.0	0.0	6.474747	6.474747
83869	0	0	1	-0.8566637	1.45639	0.0	0.0	6.474747	6.474747
83887	0	0	1	0.4366527	1.071825	0.0	0.0	6.474747	6.474747
83907	0	0	1	0.6218226	-0.1196043	0.0	0.0	6.474747	6.474747
83925	0	0	1	-0.09254218	-1.328989	0.0	0.0	6.474747	6.474747
83940	0	0	1	-0.7133032	-1.710271	0.0	0.0	6.474747	6.474747
83958	0	0	1	-1.158818	-2.929225	0.0	0.0	6.474747	6.474747
83977	0	0	1	-0.8476786	-1.645657	0.0	0.0	6.474747	6.474747
83999	0	0	1	-1.648743	-1.750814	0.0	0.0	6.474747	6.474747
84020	0.007321239	1	0	-0.6546359	-1.241633	23.77518	297.4057	7.512889	7.512889
84058	0.06938627	1	0	0.526311	-1.024061	62.81151	275.4554	8.47441	8.47441
84079	0.1252481	1	0	-0.08079844	-0.7934554	28.8717	197.7363	9.164639	9.164639
84099	0.1984597	1	0	0.1837991	-1.265818	58.7287	186.3376	9.815081	9.815081
84120	0.2793756	1	0	0.04281119	-0.1526337	7.917774	110.9599	10.2024	10.2024
84140	0.372893	1	0	0.977007	-0.7999974	71.99172	143.3056	10.70263	10.70263
84165	0.4666911	1	0	0.799443	0.8399509	-1.637934	57.04581	10.90176	10.90176
84186	0.5664468	1	0	2.023963	1.078638	38.31288	79.41412	11.17897	11.17897
84206	0.6590171	1	0	2.688791	-0.308914	121.4231	133.0636	11.64345	11.64345
84227	0.750005	1	0	2.031949	-1.561021	145.5493	128.6962	12.09268	12.09268
84247	0.8274227	1	0	0.7011931	-2.67238	136.6689	98.09689	12.43511	12.43511
84267	0.9072863	1	0	-0.7772422	-3.026296	91.06335	42.97628	12.58512	12.58512
84304	0.9623965	1	0	-1.559889	-2.555517	40.27298	-6.397643	12.56279	12.56279
84329	0.9996368	1	0	-2.425506	0.1999056	-106.3486	-125.2815	12.12547	12.12547
84349	0.9934662	3	1	-3.7019	1.360083	-204.9913	-183.3337	12.12547	12.12547
84370	0.9676442	3	1	-4.117849	1.319901	-220.1852	-162.5406	12.12547	12.12547
84395	0.9256959	3	1	-4.879326	3.003949	-319.1519	-214.1041	12.12547	12.12547
84416	0.8651465	3	1	-5.873775	4.563756	-422.4519	-259.8685	12.12547	12.12547
